,backend,archt,qubits,layers,parameters,depth,cnots,mem,shots,p=50,p=0,p=5,p=25,p=75,p=95,p=100
0,ibmq_ehningen,linear,5,0,15,11,0,False,1000,0.9906688119733756,0.9809991213252068,0.9855178796498324,0.9885829298752772,0.9923739717335024,0.9946428193256364,0.9950403514287364
1,ibmq_ehningen,linear,5,1,30,25,4,False,1000,0.9534467657985418,0.8762018975157339,0.9082586044826636,0.9369768700792342,0.9645301957690576,0.9784494101405364,0.9881867541689217
2,ibmq_ehningen,linear,5,2,45,37,8,False,1000,0.9712919699297248,0.9447185772801364,0.953069771648286,0.9634249782623712,0.9750250283536376,0.9814086977858192,0.9871556262267304
3,ibmq_ehningen,linear,5,3,60,49,12,False,1000,0.9633502417186208,0.9399408388638694,0.9409039189730254,0.9569315541869358,0.9696809508704272,0.9794825289947484,0.9824262024425148
4,ibmq_ehningen,linear,5,4,75,61,16,False,1000,0.9553121683969164,0.9223967746624636,0.930646033463774,0.9478515850086392,0.9645677026646866,0.9695681064013114,0.979426854758994
5,ibmq_ehningen,linear,5,5,90,73,20,False,1000,0.9511702911716228,0.90202056144199,0.921128930450305,0.9361264062669684,0.9594079140679062,0.9686564877846487,0.9753980518158832
6,ibmq_ehningen,linear,5,6,105,85,24,False,1000,0.9395731284372268,0.8999352404201878,0.918144164849515,0.9342003386550014,0.9447682491567058,0.960026250185688,0.9718442952565948
7,ibmq_ehningen,linear,5,7,120,97,28,False,1000,0.9385678256267892,0.9046680334045708,0.9149034175096936,0.9320214444036464,0.9468564583901832,0.9563797818923396,0.9643328014482192
8,ibmq_ehningen,linear,5,8,135,109,32,False,1000,0.9279405442800231,0.8817285756136768,0.9017538270221254,0.9119780459578852,0.9377317372059696,0.9490036430038123,0.9569809213627672
9,ibmq_ehningen,linear,5,9,150,121,36,False,1000,0.9205399091694618,0.8911525400891793,0.8942825796645842,0.907349986627154,0.9356020344784668,0.9465436789484208,0.9649466460076062
10,ibmq_ehningen,linear,5,10,165,133,40,False,1000,0.9122040358612484,0.8310508942840135,0.8799338754126639,0.8956714885156897,0.926516579670111,0.9372382968371512,0.9453087981799824
11,ibmq_ehningen,linear,5,11,180,145,44,False,1000,0.9104228719623828,0.8637004321684388,0.8776427901120865,0.9035490274586954,0.9170950856350104,0.931542662908628,0.9448002350151914
