,backend,archt,rotations,entangler,qubits,layers,parameters,depth,cnots,mem,shots,p=50,p=0,p=5,p=25,p=75,p=95,p=100
1,ibmq_ehningen,linear,['ry'],cx,5,0,5,5,0,False,1000,0.9904288202543852,0.9795957557452636,0.985528584433384,0.9888590344740676,0.99187853402889,0.99467544077222,0.9965724990882368
3,ibmq_ehningen,linear,['ry'],cx,5,1,10,13,4,False,1000,0.9772833064787908,0.9403462989172624,0.9564261848622416,0.9709192425338916,0.9818323230605542,0.9900665878659471,0.9939220901328176
6,ibmq_ehningen,linear,['ry'],cx,5,2,15,19,8,False,1000,0.967019922830114,0.9283078118972145,0.9442622361332268,0.9610914632776232,0.9744237434627984,0.981332062277146,0.9850574863588052
8,ibmq_ehningen,linear,['ry'],cx,5,3,20,25,12,False,1000,0.8485499294122119,0.7278099149817318,0.7686942123067598,0.8143907380401779,0.8810426604293621,0.9160433386018072,0.9505132665505344
10,ibmq_ehningen,linear,['ry'],cx,5,4,25,31,16,False,1000,0.7889595888425447,0.6172535985317409,0.7003936454501675,0.7502015597607916,0.8369770764359674,0.8596455903657254,0.8971714207581293
12,ibmq_ehningen,linear,['ry'],cx,5,5,30,37,20,False,1000,0.7779389602830564,0.638324236783117,0.6859576118199455,0.7453814144377464,0.8061968730723432,0.8509576154649032,0.8559637894342119
14,ibmq_ehningen,linear,['ry'],cx,5,6,35,43,24,False,1000,0.7620591431564742,0.6285654186906537,0.6560487239505408,0.7061235539842063,0.8018099388277188,0.8394168242118163,0.8602855486078081
16,ibmq_ehningen,linear,['ry'],cx,5,7,40,49,28,False,1000,0.7206875475092578,0.6097463508205984,0.6449367953370831,0.6864560203956263,0.7710876193818754,0.8302110587527075,0.8470660216442262
18,ibmq_ehningen,linear,['ry'],cx,5,8,45,55,32,False,1000,0.7094874148246213,0.6005150142216883,0.6347569454732732,0.6575627035452485,0.742754098238501,0.8277925115815645,0.8545399533684572
20,ibmq_ehningen,linear,['ry'],cx,5,9,50,61,36,False,1000,0.6928905160295014,0.526738953615407,0.5999859000215229,0.6536430215931042,0.7522702349964991,0.7960036697987836,0.8270612236850624
22,ibmq_ehningen,linear,['ry'],cx,5,10,55,67,40,False,1000,0.6920032044584445,0.5461274585514476,0.588114900405373,0.6378869645549274,0.7245970847701122,0.7680792893086081,0.7973789515744946
24,ibmq_ehningen,linear,['ry'],cx,5,11,60,73,44,False,1000,0.6860859095894637,0.5183966512493855,0.5707173318482068,0.6416198408143553,0.7166612683932886,0.7707227563304566,0.8056979859406347
25,ibmq_ehningen,linear,['ry'],cx,5,12,65,79,48,False,1000,0.7583086684654566,0.6481020854141348,0.6528167317507841,0.7190621209435639,0.7885154728878582,0.8514166260384536,0.8756946442462894
26,ibmq_ehningen,linear,['ry'],cx,5,13,70,85,52,False,1000,0.7410598460983209,0.5859568162043964,0.6481555851994206,0.705432835305588,0.7764968125440698,0.8221359801257395,0.8479258415994316
