,backend,archt,rotations,qubits,layers,parameters,depth,cnots,mem,shots,p=50
0,ibmq_ehningen,qaoa_periodic,['ry'],5,0,0,4,0,False,1000,0.991947315417379
1,ibmq_ehningen,qaoa_periodic,['ry'],5,2,4,70,35,False,1000,0.8315125861853248
2,ibmq_ehningen,qaoa_periodic,['ry'],5,4,8,139,79,False,1000,0.7849463349752697
3,ibmq_ehningen,qaoa_periodic,['ry'],5,6,12,239,130,False,1000,0.7841384733657659
4,ibmq_ehningen,qaoa_periodic,['ry'],5,8,16,310,174,False,1000,0.7631143741956796
5,ibmq_ehningen,qaoa_periodic,['ry'],5,10,20,372,221,False,1000,0.7678792414672468
6,ibmq_ehningen,qaoa_periodic,['ry'],5,12,24,465,263,False,1000,0.7534806704030941
7,ibmq_ehningen,qaoa_periodic,['ry'],5,14,28,576,314,False,1000,0.7708210596348068
8,ibmq_ehningen,qaoa_periodic,['ry'],5,16,32,665,358,False,1000,0.7409538484558409
9,ibmq_ehningen,qaoa_periodic,['ry'],5,18,36,744,405,False,1000,0.7678257112834592
10,ibmq_ehningen,qaoa_periodic,['ry'],5,20,40,800,451,False,1000,0.7748728698068733
11,ibmq_ehningen,qaoa_periodic,['ry'],5,22,44,862,488,False,1000,0.760337825789804
12,ibmq_ehningen,qaoa_periodic,['ry'],5,24,48,1005,544,False,1000,0.7508337922824757
13,ibmq_ehningen,qaoa_periodic,['ry'],5,26,52,1022,585,False,1000,0.7547713095015585
14,ibmq_ehningen,qaoa_periodic,['ry'],5,28,56,1158,630,False,1000,0.756378295169442
15,ibmq_ehningen,qaoa_periodic,['ry'],5,30,60,1236,674,False,1000,0.755634993946039
16,ibmq_ehningen,qaoa_periodic,['ry'],5,32,64,1258,720,False,1000,0.7662193341131344
17,ibmq_ehningen,qaoa_periodic,['ry'],5,34,68,1386,768,False,1000,0.7617485938112578
